N,node,s_true,x_sur,y_sur,x_hat,y_hat,delta_norm,delta_over_h,delta_n,delta_t,delta_t_frac,normal_x,normal_y,abs_err,signed_err,class,plus_scalar_dof,plus_selected_elem,plus_selected_loc,plus_parent_elem,plus_selected_is_parent,plus_bary_min_selected,plus_bary_min_parent,plus_inside_selected,plus_inside_parent,minus_scalar_dof,minus_selected_elem,minus_selected_loc,minus_parent_elem,minus_selected_is_parent,minus_bary_min_selected,minus_bary_min_parent,minus_inside_selected,minus_inside_parent
60,10,0.30387244909330624,9.421028805661368,10.71837586679554,9.54419132636004,10.78948378127499,0.14221582895890203,0.4266474868767061,-0.14221582895890206,-1.198139207358846e-15,8.424795018458094e-15,-0.8660254037844387,-0.5,0.00024028915046769373,0.00024028915046769373,sliding,2194,2507,1,2507,1,-0.024808985241534076,-0.024808985241534076,0,0,4862,2495,1,2495,1,-0.39541467036173794,-0.39541467036173794,0,0
60,11,0.4958960078071575,9.131661145200663,11.21649849001893,9.256155988289263,11.288375621188854,0.14375426233984706,0.4312627870195412,-0.14375426233984706,4.0408283409117735e-17,2.810927672780177e-16,-0.8660254037844387,-0.5,0.0002293806385514621,0.0002293806385514621,sliding,2431,4518,1,6361,0,-0.1641316715115425,-0.2616234375154953,0,0,4863,2014,2,5701,0,-0.381604279695713,-0.5069691921376639,0,0
60,12,0.7365394404930659,8.985835894318193,11.96591954600684,8.895190839260401,11.913585599068515,0.10466789387664865,0.31400368162994596,0.10466789387664867,1.9077266138608842e-16,1.822647368933538e-15,-0.8660254037844387,-0.5,0.0001283502027999222,0.0001283502027999222,sliding,2441,211,2,211,1,-0.36124592024751434,-0.36124592024751434,0,0,4864,39,1,39,1,-0.21345929539775516,-0.21345929539775516,0,0
60,13,0.10367884856461629,9.722472700774988,10.19892360585328,9.844481727153076,10.269365550076232,0.14088388844590594,0.4226516653377178,-0.14088388844590594,-5.751860835360711e-17,4.082695969574411e-16,-0.8660254037844387,-0.5,0.0002502234437515155,0.0002502234437515155,sliding,2459,3757,1,3757,1,0.03725001860196414,0.03725001860196414,1,1,4865,1074,1,2828,0,-0.4474719004098364,-0.4421257149856062,0,0
60,14,0.9530675192595113,8.712580507270886,12.55823074211508,8.570398721110733,12.476142049601654,0.16417738502685247,0.4925321550805574,0.16417738502685247,-6.104301114864864e-16,3.718113255285714e-15,-0.8660254037844387,-0.5,0.00010162402607951173,0.00010162402607951173,sliding,2485,2619,2,2619,1,-0.47482143866435095,-0.47482143866435095,0,0,4866,5499,1,7844,0,0.12461419135012208,-0.1328286081206962,1,0
60,15,-0.7856572590674317,11.13082028206017,7.931282814172337,11.178485888601148,7.958802564939857,0.055039501535040426,0.16511850460512129,-0.055039501535040426,-2.407166632496196e-16,4.373525495981635e-15,-0.8660254037844387,-0.5,0.00011192810537131309,0.00011192810537131309,sliding,3173,1418,2,7409,0,-0.05920083181278938,-0.16860984243419413,0,0,4867,1548,2,7144,0,-0.15258131666587693,-0.2450211353495311,0,0
60,16,-0.0916157601400398,10.22790824214122,9.814216582277583,10.13742364021006,9.76197527299511,0.10448261856494387,0.31344785569483163,0.10448261856494387,-1.491330147505933e-16,1.4273475990448674e-15,-0.8660254037844387,-0.5,0.00025144843508352653,0.00025144843508352653,sliding,3275,5911,2,7068,0,-0.3065868719924103,-0.36363162368220253,0,0,4868,3636,1,3636,1,0.011591835053701205,0.011591835053701205,1,1
60,17,-0.4763492942642763,10.82598521882331,8.82676042880368,10.714523941396415,8.762408230277043,0.128704397053276,0.386113191159828,0.128704397053276,-2.4644705523681134e-16,1.91483011365025e-15,-0.8660254037844387,-0.5,0.00022690372042020795,0.00022690372042020795,sliding,3531,6526,2,7942,0,-0.37388547334591304,-0.4462660649509205,0,0,4869,5995,2,6519,0,0.05302776828868372,-0.0620549866762361,1,0
60,18,-0.2470463466846058,10.42701258962244,9.39074218500185,10.370569520026908,9.358154763576982,0.06517484284973674,0.1955245285492102,0.06517484284973674,6.407322213246841e-16,9.830974549519335e-15,-0.8660254037844387,-0.5,0.0002590905362025082,0.0002590905362025082,sliding,3913,7832,2,7833,0,-0.21846818463969986,-0.28121637125934135,0,0,4870,4332,2,4332,1,0.0858566131713604,0.0858566131713604,1,1
60,19,-0.6385628000115311,11.04467057207413,8.391094409114647,10.957844200017297,8.340965179834877,0.10025845855954243,0.30077537567862733,0.10025845855954243,9.739096598691701e-16,9.713989960166558e-15,-0.8660254037844387,-0.5,0.00018802097988874903,0.00018802097988874903,sliding,3988,6321,2,6322,0,-0.2959769796819809,-0.392111419535492,0,0,4871,424,2,424,1,-0.054574391291141056,-0.054574391291141056,0,0
60,20,-0.9880997194035612,11.43414615373301,7.405126834011982,11.482149579105341,7.432841624572721,0.05542958112147843,0.1662887433644353,-0.05542958112147843,-1.1610254570622052e-16,2.094595401177078e-15,-0.8660254037844387,-0.5,0.00030041089648034263,0.00030041089648034263,sliding,4326,1832,2,1832,1,-0.0017604100363510984,-0.0017604100363510984,0,0,4872,1265,2,1265,1,-0.16319607497706656,-0.16319607497706656,0,0
60,21,-0.31843345240927423,10.54196255338505,9.209816389282699,10.477650178613912,9.172685622396356,0.07426153377268194,0.2227846013180458,0.07426153377268194,-1.5561063938538425e-15,2.095440687526274e-14,-0.8660254037844387,-0.5,0.0002444829498344024,0.0002444829498344024,sliding,4462,7615,2,8445,0,-0.2494292082783407,-0.27821017232989603,0,0,4873,4417,2,4417,1,0.11213579503800597,0.11213579503800597,1,1
